Id;Fold;Type;Band;TruePositiveScore;FalseNegativeScore;TrueNegativeScore;FalsePositiveScore;IoUScore;Min;Max
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;coastal_aerosol;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;blue;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;green;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;red;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;veg_red_1;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;veg_red_2;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;veg_red_3;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;nir;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;veg_red_4;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;water_vapour;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;swir_1;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
012b8863-976c-44e1-a491-9adf19c1cbba_0;1;diff;swir_2;3583,79354551062;4094,2064542770386;134865,7922539711;119600,20772856008;0,02815716538969167;-0,23009999096393585;0,24780000746250153
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;coastal_aerosol;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;blue;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;green;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;red;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;veg_red_1;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;veg_red_2;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;veg_red_3;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;nir;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;veg_red_4;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;water_vapour;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;swir_1;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_0;4;diff;swir_2;507,63123086094856;583,368768632412;140065,133556664;120987,8664431274;0,00415822366027247;-0,3719000220298767;0,46699997782707214
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;coastal_aerosol;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;blue;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;green;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;red;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;veg_red_1;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;veg_red_2;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;veg_red_3;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;nir;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;veg_red_4;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;water_vapour;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;swir_1;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
0328d12a-4ad8-4504-8ac5-70089db10b4e_1;4;diff;swir_2;179,18553805351257;163,81446200609207;126770,8553788662;135030,1446231054;0,001323641690915189;-0,19439998269081116;0,1834000051021576
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;coastal_aerosol;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;blue;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;green;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;red;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;veg_red_1;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;veg_red_2;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;veg_red_3;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;nir;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
03790d1a-5b9c-48ed-820d-83abbe656035_0;3;diff;veg_red_4;123,89551316201687;189,10448688268661;161261,57181566954;100569,42820275715;0,0012281178731438967;-0,2076999992132187;0,35409998893737793
